"","AssessID","Species","P1_label","Location","Region","depth_ft_colony_base","firstvisit_date","length","width","height","Surface_Area","total_periods_visited","total_periods_diseased","treat_type","total_treatments","Resistance_April2021","Resistance2_April2021","X.visits_diseased_total","X.visits_diseased_May21.Mar22","X.LiveTissueDifference_total","X.LiveTissueDifference_Apr21.Mar22","Zoox_dominant","Zoox_background","date","time","process_time","disease","coresite_angle","core_location","core_heading","core_depth","ID","Falcon_Tube","Sample_Period","Sample_ID","Sample_name","RNA_Original_concentration","RNA_Dilution_concentration","Cq","Plate_Number"
"11","1452","Ofav1","1452","Sand","Sand",23,"10/9/19",578,520,392,306596,20,20,"SK_Exp_B",1151,"Low","SCTLD_affected","100.0%","100.0%",NA,NA,"B",NA,"6/13/21","11:02","6","P","Angle ","US","SW",15,"1452",33,1,"33_1452","1_1452",19,8,"26","TP1"
"12","1463","Ofav1","1463","Sand","Sand",24,"10/9/19",505,440,330,223236,20,20,"SK_Exp_D",1043,"Low","SCTLD_affected","100.0%","100.0%",NA,NA,"B",NA,"6/13/21","10:48","5","P","Angle ","US","SW",17,"1463",48,1,"48_1463","1_1463",24,8,"26","TP1"
"13","3343","Ofav1","3343","Sand","Sand",23,"2/14/20",99,90,90,11495,17,11,"Amox",126,"Low","SCTLD_affected","64.7%","66.7%",NA,NA,"B","CD","6/13/21","11:19","7","P","Vertical","US","N",21,"3343",28,1,"28_3343","1_3343",31,8,"24","TP1"
"14","4360","Ofav1","4360","Sand","Sand",23,"6/10/20",212,170,173,45049,15,10,"Amox",84,"Low","SCTLD_affected","66.7%","83.3%",NA,NA,"B","CD","6/13/21","16:00","8","P","Vertical","LS","SW",24,"4360",68,1,"68_4360","1_4360",4,1,"22","Plate8"
"15","4616","Ofav1","4616","Sand","Sand",28,"8/11/20",150,145,138,27579,14,8,"Amox",113,"Low","SCTLD_affected","57.1%","66.7%",NA,NA,"B",NA,"6/13/21","13:00","9","P","Vertical","LS","E",28,"4616",3,1,"3_4616","1_4616",12,8,"26","TP1"
"16","LC-005","Ofav1","2105","ECA","1North",23,"9/13/18",280,265,130,56539,51,6,"Both",14,"Low","SCTLD_affected","11.8%","0.0%",-10,0,"B",NA,"5/28/21","13:56","6","A","Angle ","T/US","SW",20,"LC005",88,1,"88_LC005","1_LC005",19,8,"25","TP1"
"17","LC-013","Ofav1","1813","ECA","2Middle",26,"9/11/18",360,300,180,90691,54,4,"Both",11,"Low","SCTLD_affected","7.4%","9.1%",0,0,"B",NA,"6/17/21","15:44","5","A","Angle ","LS","N",25,"LC013",113,1,"113_LC013","1_LC013",17,8,"25","TP1"
"18","LC-016","Ofav1","1796","ECA","2Middle",19,"7/17/18",340,300,200,94110,56,4,"Epox",5,"Low","SCTLD_affected","7.1%","9.1%",0,0,"B",NA,"6/17/21","14:26","4","A","Angle ","MS","N",18,"LC016",113,1,"113_LC016","1_LC016",15,8,"25","TP1"
"19","LC-041","Ofav2","1741","ECA","1North",18,"6/25/18",250,230,130,47765,56,7,"Both",8,"Low","SCTLD_affected","12.5%","18.2%",-5,-5,"B",NA,"5/28/21","10:56","6","A","Angle ","MS","S",17,"LC041",78,1,"78_LC041","1_LC041",18,8,"26","TP1"
"20","LC-052","Ofav2","1752","ECA","1North",18,"6/25/18",350,275,255,110597,55,5,"Both",9,"Low","SCTLD_affected","9.1%","0.0%",0,0,"B",NA,"5/28/21","12:14","5","A","Flat","US","NW",15,"LC052",93,1,"93_LC052","1_LC052",18,8,"27","TP1"
"21","LC-053","Ofav2","1753","ECA","1North",18,"9/12/18",220,220,70,29236,53,6,"Both",6,"Low","SCTLD_affected","11.3%","9.1%",0,0,"B",NA,"5/28/21","12:03","6","A","Angle ","MS","N",15,"LC053",83,1,"83_LC053","1_LC053",16,8,"26","TP1"
"22","LC-077","Ofav1","1777","ECA","3South",20,"6/7/18",215,210,160,47892,55,18,"Both",50,"Low","SCTLD_affected","32.7%","18.2%",-25,0,"B",NA,"6/21/21","12:41","5","A","Angle ","MS","NE",17,"LC077",113,1,"113_LC077","1_LC077",15,8,"20","TP1"
"23","LC-085","Ofav1","2085","ECA","3South",20,"6/7/18",350,250,180,80174,52,6,"Epox",14,"Low","SCTLD_affected","11.5%","0.0%",-5,0,"B",NA,"6/21/21","11:41","6","A","Vertical","MS","N",18,"LC085",98,1,"98_LC085","1_LC085",15,8,"21","TP1"
"24","LC-101","Ofav1","1801","ECA","3South",21,"9/18/18",295,240,130,55069,54,10,"Both",98,"Low","SCTLD_affected","18.5%","18.2%",-20,-5,"B","C","6/21/21","11:21","6","A","Flat","T","S",17,"LC101",128,1,"128_LC101","1_LC101",32,8,"26","TP1"
"25","LC-110","Ofav1","1810","ECA","3South",20,"9/10/18",220,170,90,28268,52,7,"Epox",33,"Low","SCTLD_affected","13.5%","18.2%",-20,-5,"B",NA,"6/21/21","11:50","5","A","Flat","T","N",21,"LC110",118,1,"118_LC110","1_LC110",22,8,"26","TP1"
"26","LC-122","Ofav1","1822","ECA","2Middle",20,"5/8/18",320,270,115,58463,52,13,"Both",20,"Low","SCTLD_affected","25.0%","27.3%",-45,-10,"B","C","6/17/21","14:49","9","A","Vertical","LS","E",16,"LC122",108,1,"108_LC122","1_LC122",14,8,"26","TP1"
"27","LC-123","Ofav1","1923","ECA","2Middle",24,"4/27/18",335,310,130,71343,55,11,"Both",31,"Low","SCTLD_affected","20.0%","40.0%",-70,-5,"B",NA,"6/17/21","13:25","6","A","Angle ","LS","N",24,"LC123",123,1,"123_LC123","1_LC123",33,8,"25","TP1"
"28","LC-124","Ofav1","1924","ECA","2Middle",23,"4/5/18",412,445,170,124784,53,6,"Both",7,"Low","SCTLD_affected","11.3%","0.0%",-10,0,"B",NA,"6/17/21","12:49","11","A","Vertical","US","N",21,"LC124",118,1,"118_LC124","1_LC124",30,8,"27","TP1"
"29","LC-157","Ofav1","1557","ECA","2Middle",20,"7/16/19",295,285,110,55724,41,20,"Both",62,"Low","SCTLD_affected","48.8%","45.5%",-40,-20,"B",NA,"6/17/21","15:15","6","P","Angle ","MS","N",17,"LC157",123,1,"123_LC157","1_LC157",21,8,"19","TP1"
"30","MC-002","Ofav1","1552","ECA","2Middle",22,"7/16/19",180,170,100,26372,41,5,"Amox",5,"Low","SCTLD_affected","12.2%","9.1%",-10,0,"B",NA,"6/17/21","16:51","3","A","Vertical","LS","S",23,"MC002",113,1,"113_MC002","1_MC002",18,8,"25","TP1"
"31","675","Ofav1","675","Looe","Looe",15,"4/1/19",312,258,220,87910,19,16,"Amox",220,"Low","SCTLD_affected","84.2%","83.3%",NA,NA,"B",NA,"9/15/21","12:27","4","P","Vertical","MS","W",14,"675",220,2,"220_675","2_675",4,4,"19","TP2"
"32","679","Ofav1","679","Looe","Looe",25,"4/1/19",290,252,253,92970,21,18,"Amox",136,"Low","SCTLD_affected","85.7%","100.0%",NA,NA,"B","CD","9/15/21","13:01","5","P","Vertical","MS","NE",23,"679",228,2,"228_679","2_679",5,4,"18","TP2"
"33","689","Ofav1","689","Looe","Looe",22,"4/1/19",355,280,282,122471,21,21,"Amox",1015,"Low","SCTLD_affected","100.0%","100.0%",NA,NA,"B","C","9/15/21","13:36","6","P","Vertical","MS","SW",18,"689",204,2,"204_689","2_689",4,4,"18","TP2"
"34","693","Ofav1","693","Looe","Looe",25,"4/2/19",318,280,240,99835,21,16,"Amox",77,"Low","SCTLD_affected","76.2%","50.0%",NA,NA,"B",NA,"9/15/21","13:48","4","A","Angle","T","NW",19,"693",216,2,"216_693","2_693",11,4,"19","TP2"
"35","695","Ofav1","695","Looe","Looe",26,"4/2/19",540,395,348,229891,20,19,"Amox",720,"Low","SCTLD_affected","95.0%","83.3%",NA,NA,"B","D","9/15/21","14:03","4","P","Angle ","MS","SW",24,"695",220,2,"220_695","2_695",8,4,"19","TP2"
"36","719","Ofav1","719","Looe","Looe",28,"4/10/19",238,210,205,62454,22,21,"Amox",230,"Low","SCTLD_affected","95.5%","83.3%",NA,NA,"B","CD","9/15/21","14:46","4","P","Angle","T","SE",22,"719",224,2,"224_719","2_719",2,4,"18","TP2"
"37","741","Ofav1","741","Looe","Looe",24,"4/11/19",185,155,178,40384,21,20,"Amox",242,"Low","SCTLD_affected","95.2%","100.0%",NA,NA,"B",NA,"9/15/21","10:12","3","P","Flat","T","S",20,"741",212,2,"212_741","2_741",7,4,"18","TP2"
"38","753","Ofav1","753","Looe","Looe",19,"4/11/19",213,170,148,39735,21,20,"Amox",113,"Low","SCTLD_affected","95.2%","100.0%",NA,NA,"B",NA,"9/15/21","10:45","4","P","Flat","T","W",17,"753",212,2,"212_753","2_753",11,4,"18","TP2"
"39","1280","Ofav1","1280","Sand","Sand",25,"1/2/20",288,115,208,57396,18,11,"Amox",113,"Low","SCTLD_affected","61.1%","66.7%",NA,NA,"B",NA,"9/14/21","14:25","4","P","Vertical","LS","SW",25,"1280",192,2,"192_1280","2_1280",6,4,"18","TP2"
"40","1332","Ofav1","1332","Sand","Sand",22,"2/14/20",100,95,76,10365,16,12,"Amox",47,"Low","SCTLD_affected","75.0%","66.7%",NA,NA,"B","C","9/14/21","14:49","4","A","Vertical","MS","W",21,"1332",204,2,"204_1332","2_1332",8,4,"18","TP2"
"41","1452","Ofav1","1452","Sand","Sand",23,"10/9/19",578,520,392,306596,20,20,"SK_Exp_B",1151,"Low","SCTLD_affected","100.0%","100.0%",NA,NA,"B",NA,"9/14/21","12:32","7","P","Angle ","US","SW",15,"1452",196,2,"196_1452","2_1452",11,4,"17","TP2"
"42","1463","Ofav1","1463","Sand","Sand",24,"10/9/19",505,440,330,223236,20,20,"SK_Exp_D",1043,"Low","SCTLD_affected","100.0%","100.0%",NA,NA,"B",NA,"9/14/21","11:48","5","P","Angle ","US","SW",17,"1463",184,2,"184_1463","2_1463",7,4,"17","TP2"
"43","3343","Ofav1","3343","Sand","Sand",23,"2/14/20",99,90,90,11495,17,11,"Amox",126,"Low","SCTLD_affected","64.7%","66.7%",NA,NA,"B","CD","9/14/21","11:38","5","P","Vertical","US","N",19,"3343",188,2,"188_3343","2_3343",5,4,"18","TP2"
"44","4360","Ofav1","4360","Sand","Sand",23,"6/10/20",212,170,173,45049,15,10,"Amox",84,"Low","SCTLD_affected","66.7%","83.3%",NA,NA,"B","CD","9/14/21","15:03","3","P","Vertical","LS","SW",24,"4360",200,2,"200_4360","2_4360",8,4,"18","TP2"
"45","4616","Ofav1","4616","Sand","Sand",28,"8/11/20",150,145,138,27579,14,8,"Amox",113,"Low","SCTLD_affected","57.1%","66.7%",NA,NA,"B",NA,"9/14/21","13:13","13:19","P","Vertical","LS","E",28,"4616",200,2,"200_4616","2_4616",4,4,"18","TP2"
"46","LC-005","Ofav1","2105","ECA","1North",23,"9/13/18",280,265,130,56539,51,6,"Both",14,"Low","SCTLD_affected","11.8%","0.0%",-10,0,"B",NA,"8/19/21","13:22","4","A","Angle ","T/US","SW",20,"LC005",172,2,"172_LC005","2_LC005",4,4,"16","TP2"
"47","LC-013","Ofav1","1813","ECA","2Middle",26,"9/11/18",360,300,180,90691,54,4,"Both",11,"Low","SCTLD_affected","7.4%","9.1%",0,0,"B",NA,"8/20/21","14:32","3","A","Angle ","LS","N",25,"LC013",160,2,"160_LC013","2_LC013",11,4,"18","TP2"
"48","LC-016","Ofav1","1796","ECA","2Middle",19,"7/17/18",340,300,200,94110,56,4,"Epox",5,"Low","SCTLD_affected","7.1%","9.1%",0,0,"B",NA,"8/20/21","12:47","2","A","Angle ","MS","N",18,"LC016",164,2,"164_LC016","2_LC016",5,4,"19","TP2"
"49","LC-041","Ofav2","1741","ECA","1North",18,"6/25/18",250,230,130,47765,56,7,"Both",8,"Low","SCTLD_affected","12.5%","18.2%",-5,-5,"B",NA,"8/19/21","10:29","2","A","Angle ","MS","S",17,"LC041",176,2,"176_LC041","2_LC041",7,4,"18","TP2"
"50","LC-052","Ofav2","1752","ECA","1North",18,"6/25/18",350,275,255,110597,55,5,"Both",9,"Low","SCTLD_affected","9.1%","0.0%",0,0,"B",NA,"8/19/21","12:12","3","A","Flat","US","NW",15,"LC052",176,2,"176_LC052","2_LC052",9,4,"18","TP2"
"51","LC-053","Ofav2","1753","ECA","1North",18,"9/12/18",220,220,70,29236,53,6,"Both",6,"Low","SCTLD_affected","11.3%","9.1%",0,0,"B",NA,"8/19/21","12:01","3","A","Angle ","MS","N",15,"LC053",172,2,"172_LC053","2_LC053",4,4,"18","TP2"
"52","LC-077","Ofav1","1777","ECA","3South",20,"6/7/18",215,210,160,47892,55,18,"Both",50,"Low","SCTLD_affected","32.7%","18.2%",-25,0,"B",NA,"8/21/21","11:16","3","A","Angle ","MS","NE",17,"LC077",140,2,"140_LC077","2_LC077",7,4,"19","TP2"
"53","LC-085","Ofav1","2085","ECA","3South",20,"6/7/18",350,250,180,80174,52,6,"Epox",14,"Low","SCTLD_affected","11.5%","0.0%",-5,0,"B",NA,"8/21/21","10:28","5","A","Vertical","MS","N",18,"LC085",148,2,"148_LC085","2_LC085",7,4,"18","TP2"
"54","LC-101","Ofav1","1801","ECA","3South",21,"9/18/18",295,240,130,55069,54,10,"Both",98,"Low","SCTLD_affected","18.5%","18.2%",-20,-5,"B","C","8/21/21","10:14","4","A","Flat","T","S",17,"LC101",136,2,"136_LC101","2_LC101",11,4,"19","TP2"
"55","LC-110","Ofav1","1810","ECA","3South",20,"9/10/18",220,170,90,28268,52,7,"Epox",33,"Low","SCTLD_affected","13.5%","18.2%",-20,-5,"B",NA,"8/21/21","10:36","3","A","Flat","T","N",21,"LC110",140,2,"140_LC110","2_LC110",8,4,"18","TP2"
"56","LC-122","Ofav1","1822","ECA","2Middle",20,"5/8/18",320,270,115,58463,52,13,"Both",20,"Low","SCTLD_affected","25.0%","27.3%",-45,-10,"B","C","8/20/21","13:19","4","P","Vertical","LS","E",16,"LC122",164,2,"164_LC122","2_LC122",7,4,"19","TP2"
"57","LC-123","Ofav1","1923","ECA","2Middle",24,"4/27/18",335,310,130,71343,55,11,"Both",31,"Low","SCTLD_affected","20.0%","40.0%",-70,-5,"B",NA,"8/20/21","11:39","3","A","Angle ","LS","N",24,"LC123",160,2,"160_LC123","2_LC123",13,4,"19","TP2"
"58","LC-124","Ofav1","1924","ECA","2Middle",23,"4/5/18",412,445,170,124784,53,6,"Both",7,"Low","SCTLD_affected","11.3%","0.0%",-10,0,"B",NA,"8/20/21","11:25","1","A","Vertical","US","N",21,"LC124",152,2,"152_LC124","2_LC124",10,4,"19","TP2"
"59","LC-157","Ofav1","1557","ECA","2Middle",20,"7/16/19",295,285,110,55724,41,20,"Both",62,"Low","SCTLD_affected","48.8%","45.5%",-40,-20,"B",NA,"8/20/21","13:43","3","A","Angle ","MS","N",17,"LC157",160,2,"160_LC157","2_LC157",12,4,"19","TP2"
"60","MC-002","Ofav1","1552","ECA","2Middle",22,"7/16/19",180,170,100,26372,41,5,"Amox",5,"Low","SCTLD_affected","12.2%","9.1%",-10,0,"B",NA,"8/20/21","15:30","3","A","Vertical","LS","S",23,"MC002",160,2,"160_MC002","2_MC002",7,4,"18","TP2"
"61","675","Ofav1","675","Looe","Looe",15,"4/1/19",312,258,220,87910,19,16,"Amox",220,"Low","SCTLD_affected","84.2%","83.3%",NA,NA,"B",NA,"3/1/22","13:00","4","A","Vertical","MS","W",14,"675",272,3,"272_675","3_675",27,8,"18","TP3"
"62","679","Ofav1","679","Looe","Looe",25,"4/1/19",290,252,253,92970,21,18,"Amox",136,"Low","SCTLD_affected","85.7%","100.0%",NA,NA,"B","CD","3/1/22","13:23","3","P","Vertical","MS","NE",23,"679",277,3,"277_679","3_679",18,8,"20","TP3"
"63","689","Ofav1","689","Looe","Looe",22,"4/1/19",355,280,282,122471,21,21,"Amox",1015,"Low","SCTLD_affected","100.0%","100.0%",NA,NA,"B","C","3/1/22","14:58","5","P","Vertical","MS","SW",18,"689",282,3,"282_689","3_689",15,8,"21","TP3"
"64","693","Ofav1","693","Looe","Looe",25,"4/2/19",318,280,240,99835,21,16,"Amox",77,"Low","SCTLD_affected","76.2%","50.0%",NA,NA,"B",NA,"3/1/22","14:24","3","A","Anglr","MS","N",22,"693",287,3,"287_693","3_693",23,8,"19","TP3"
"65","695","Ofav1","695","Looe","Looe",26,"4/2/19",540,395,348,229891,20,19,"Amox",720,"Low","SCTLD_affected","95.0%","83.3%",NA,NA,"B","D","3/1/22","14:46","5","A","Angle ","MS","SW",24,"695",282,3,"282_695","3_695",12,8,"18","TP3"
"66","719","Ofav1","719","Looe","Looe",28,"4/10/19",238,210,205,62454,22,21,"Amox",230,"Low","SCTLD_affected","95.5%","83.3%",NA,NA,"B","CD","3/1/22","10:27","5","A","Angle","T","SE",22,"719",247,3,"247_719","3_719",30,8,"19","TP3"
"67","741","Ofav1","741","Looe","Looe",24,"4/11/19",185,155,178,40384,21,20,"Amox",242,"Low","SCTLD_affected","95.2%","100.0%",NA,NA,"B",NA,"3/1/22","10:11","7","P","Flat","T","S",20,"741",257,3,"257_741","3_741",32,8,"17","TP3"
"68","753","Ofav1","753","Looe","Looe",19,"4/11/19",213,170,148,39735,21,20,"Amox",113,"Low","SCTLD_affected","95.2%","100.0%",NA,NA,"B",NA,"3/1/22","11:03","4","P","Flat","T","W",17,"753",267,3,"267_753","3_753",17,8,"20","TP3"
"69","1280","Ofav1","1280","Sand","Sand",25,"1/2/20",288,115,208,57396,18,11,"Amox",113,"Low","SCTLD_affected","61.1%","66.7%",NA,NA,"B",NA,"2/28/22","11:05","6","A","Vertical","LS","SW",25,"1280",247,3,"247_1280","3_1280",24,8,"22","TP3"
"70","1332","Ofav1","1332","Sand","Sand",22,"2/14/20",100,95,76,10365,16,12,"Amox",47,"Low","SCTLD_affected","75.0%","66.7%",NA,NA,"B","C","2/28/22","14:23","6","A","Vertical","MS","W",21,"1332",237,3,"237_1332","3_1332",16,8,"21","TP3"
"71","1452","Ofav1","1452","Sand","Sand",23,"10/9/19",578,520,392,306596,20,20,"SK_Exp_B",1151,"Low","SCTLD_affected","100.0%","100.0%",NA,NA,"B",NA,"2/28/22","10:48","12","P","Angle","US","SW",15,"1452",247,3,"247_1452","3_1452",36,8,"18","TP3"
"72","1463","Ofav1","1463","Sand","Sand",24,"10/9/19",505,440,330,223236,20,20,"SK_Exp_D",1043,"Low","SCTLD_affected","100.0%","100.0%",NA,NA,"B",NA,"2/28/22","10:41","5","A","Vertical","US","SW",17,"1463",232,3,"232_1463","3_1463",20,8,"20","TP3"
"73","3343","Ofav1","3343","Sand","Sand",23,"2/14/20",99,90,90,11495,17,11,"Amox",126,"Low","SCTLD_affected","64.7%","66.7%",NA,NA,"B","CD","2/28/22","10:12","4","A","Vertical","US","N",19,"3343",237,3,"237_3343","3_3343",13,8,"19","TP3"
"74","4360","Ofav1","4360","Sand","Sand",23,"6/10/20",212,170,173,45049,15,10,"Amox",84,"Low","SCTLD_affected","66.7%","83.3%",NA,NA,"B","CD","2/28/22","14:35","5","A","Vertical","MS","SE",21,"4360",252,3,"252_4360","3_4360",28,8,"19","TP3"
"75","4616","Ofav1","4616","Sand","Sand",28,"8/11/20",150,145,138,27579,14,8,"Amox",113,"Low","SCTLD_affected","57.1%","66.7%",NA,NA,"B",NA,"2/28/22","12:57","5","A","Vertical","MS","NE",28,"4616",252,3,"252_4616","3_4616",16,8,"19","TP3"
"76","LC-005","Ofav1","2105","ECA","1North",23,"9/13/18",280,265,130,56539,51,6,"Both",14,"Low","SCTLD_affected","11.8%","0.0%",-10,0,"B",NA,"3/19/22","13:18","3","A","Angle","US","SW",20,"LC005",342,3,"342_LC005","3_LC005",13,8,"19","TP3"
"77","LC-013","Ofav1","1813","ECA","2Middle",26,"9/11/18",360,300,180,90691,54,4,"Both",11,"Low","SCTLD_affected","7.4%","9.1%",0,0,"B",NA,"3/17/22","14:00","4","A","Angle","LS","N",25,"LC013",297,3,"297_LC013","3_LC013",24,8,"21","TP3"
"78","LC-016","Ofav1","1796","ECA","2Middle",19,"7/17/18",340,300,200,94110,56,4,"Epox",5,"Low","SCTLD_affected","7.1%","9.1%",0,0,"B",NA,"3/17/22","12:57","4","A","Vertical","MS","NW",18,"LC016",322,3,"322_LC016","3_LC016",22,8,"19","TP3"
"79","LC-041","Ofav2","1741","ECA","1North",18,"6/25/18",250,230,130,47765,56,7,"Both",8,"Low","SCTLD_affected","12.5%","18.2%",-5,-5,"B",NA,"3/19/22","9:49","4","A","Angle","MS","S",17,"LC041",337,3,"337_LC041","3_LC041",13,8,"19","TP3"
"80","LC-052","Ofav2","1752","ECA","1North",18,"6/25/18",350,275,255,110597,55,5,"Both",9,"Low","SCTLD_affected","9.1%","0.0%",0,0,"B",NA,"3/19/22","11:47","4","A","Flat","US","NW",15,"LC052",347,3,"347_LC052","3_LC052",15,8,"19","TP3"
"81","LC-053","Ofav2","1753","ECA","1North",18,"9/12/18",220,220,70,29236,53,6,"Both",6,"Low","SCTLD_affected","11.3%","9.1%",0,0,"B",NA,"3/19/22","11:32","5","A","Angle","MS","N",15,"LC053",342,3,"342_LC053","3_LC053",12,8,"19","TP3"
"82","LC-077","Ofav1","1777","ECA","3South",20,"6/7/18",215,210,160,47892,55,18,"Both",50,"Low","SCTLD_affected","32.7%","18.2%",-25,0,"B",NA,"3/18/22","12:18","4","A","Angle","MS","NE",17,"LC077",307,3,"307_LC077","3_LC077",30,8,"15","TP3"
"83","LC-085","Ofav1","2085","ECA","3South",20,"6/7/18",350,250,180,80174,52,6,"Epox",14,"Low","SCTLD_affected","11.5%","0.0%",-5,0,"B",NA,"3/18/22","10:58","6","A","Vertical","MS","N",18,"LC085",317,3,"317_LC085","3_LC085",12,8,"20","TP3"
"84","LC-101","Ofav1","1801","ECA","3South",21,"9/18/18",295,240,130,55069,54,10,"Both",98,"Low","SCTLD_affected","18.5%","18.2%",-20,-5,"B","C","3/18/22","10:37","5","A","Flat","T","S",17,"LC101",322,3,"322_LC101","3_LC101",11,8,"20","TP3"
"85","LC-110","Ofav1","1810","ECA","3South",20,"9/10/18",220,170,90,28268,52,7,"Epox",33,"Low","SCTLD_affected","13.5%","18.2%",-20,-5,"B",NA,"3/18/22","11:09","5","A","Flat","T","N",21,"LC110",317,3,"317_LC110","3_LC110",21,8,"14","TP3"
"86","LC-122","Ofav1","1822","ECA","2Middle",20,"5/8/18",320,270,115,58463,52,13,"Both",20,"Low","SCTLD_affected","25.0%","27.3%",-45,-10,"B","C","3/17/22","13:18","5","A","Vertical","LS","E",16,"LC122",322,3,"322_LC122","3_LC122",17,8,"18","TP3"
"87","LC-123","Ofav1","1923","ECA","2Middle",24,"4/27/18",335,310,130,71343,55,11,"Both",31,"Low","SCTLD_affected","20.0%","40.0%",-70,-5,"B",NA,"3/17/22","11:55","4","A","Angle","MS","N",24,"LC123",302,3,"302_LC123","3_LC123",20,8,"16","TP3"
"88","LC-124","Ofav1","1924","ECA","2Middle",23,"4/5/18",412,445,170,124784,53,6,"Both",7,"Low","SCTLD_affected","11.3%","0.0%",-10,0,"B",NA,"3/17/22","11:37","3","A","Vertical","US","N",21,"LC124",292,3,"292_LC124","3_LC124",10,8,"16","TP3"
"89","LC-157","Ofav1","1557","ECA","2Middle",20,"7/16/19",295,285,110,55724,41,20,"Both",62,"Low","SCTLD_affected","48.8%","45.5%",-40,-20,"B",NA,"3/17/22","13:32","5","A","Angle","MS","N",17,"LC157",302,3,"302_LC157","3_LC157",32,8,"19","TP3"
"90","MC-002","Ofav1","1552","ECA","2Middle",22,"7/16/19",180,170,100,26372,41,5,"Amox",5,"Low","SCTLD_affected","12.2%","9.1%",-10,0,"B",NA,"3/17/22","15:14","5","A","Angle/Vert","LS","S",23,"MC002",327,3,"327_MC002","3_MC002",25,8,"19","TP3"
"91","617","Ofav1","617","Looe","Looe",30,"3/26/19",344,320,302,136463,19,5,"Amox",11,"Some","SCTLD_affected","26.3%","50.0%",NA,NA,"B",NA,"6/12/21","12:35","10","A","Vertical","MS","SW",18,"617",58,1,"58_617","1_617",2,1,"20","Plate8"
"92","663","Ofav1","663","Looe","Looe",28,"3/31/19",510,390,260,175571,21,5,"Amox",13,"Some","SCTLD_affected","23.8%","33.3%",NA,NA,"B",NA,"6/12/21","12:49","10","P","Flat","T","S",23,"663",48,1,"48_663","1_663",21,8,"26","TP1"
